"subject_no","activity_code","tBodyAcc_mean_X.mn","tBodyAcc_mean_X.n","tBodyAcc_mean_Y.mn","tBodyAcc_mean_Y.n","tBodyAcc_mean_Z.mn","tBodyAcc_mean_Z.n","tBodyAcc_std_X.mn","tBodyAcc_std_X.n","tBodyAcc_std_Y.mn","tBodyAcc_std_Y.n","tBodyAcc_std_Z.mn","tBodyAcc_std_Z.n","tGravityAcc_mean_X.mn","tGravityAcc_mean_X.n","tGravityAcc_mean_Y.mn","tGravityAcc_mean_Y.n"
30,1,0.276406758,65,-0.0175880385730769,65,-0.0986247068969231,65,-0.346394275230769,65,-0.173550021692308,65,-0.120476783907692,65,0.965217551076923,65,-0.157673823846154,65
1,2,0.255461689622641,53,-0.0239531492643396,53,-0.0973020020943396,53,-0.35470802509434,53,-0.00232026501698113,53,-0.0194792388471698,53,0.89335109754717,53,-0.362153364339623,53
2,2,0.247164790395833,48,-0.0214121132045833,48,-0.152513899520833,48,-0.304376406458333,48,0.108027279889583,48,-0.112121021220833,48,0.790717418541667,48,-0.416214890416667,48
3,2,0.260819873067797,59,-0.0324109410555932,59,-0.110064863437288,59,-0.313123437627119,59,0.0116280813372881,59,-0.369754604067797,59,0.883533436101695,59,-0.382851153728814,59
4,2,0.270876696730769,52,-0.0319804295729615,52,-0.114219455519231,52,-0.204933042903846,52,-0.0666899105180769,52,-0.372137777692308,52,0.946264314423077,52,-0.232944304615385,52
5,2,0.268459469914894,47,-0.0325269755153191,47,-0.107471453914894,47,-0.0457237779851064,47,0.185022459476596,47,-0.308938978787234,47,0.936821834893617,47,-0.265942569148936,47
6,2,0.268229355098039,51,-0.0272425385070588,51,-0.122082438784314,51,-0.0501350188513725,51,0.189276117327451,51,-0.353519514896078,51,0.913632241568627,51,-0.340732608823529,51
7,2,0.248706923078431,51,-0.0275639005607843,51,-0.143769688803922,51,-0.29487297445098,51,-0.32616002254902,51,-0.145665025639216,51,0.81874656,51,-0.240950944117647,51
8,2,0.258880152048781,41,-0.0282415136341463,41,-0.11512211995122,41,-0.171712174634146,41,0.348768733170732,41,0.121187278790244,41,0.860368718780488,41,-0.291341491707317,41
9,2,0.262436475714286,49,-0.0195101099975714,49,-0.125219003959184,49,-0.36144437755102,49,-0.302206203816327,49,-0.253434083542857,49,0.902647777755102,49,-0.0377947824285714,49
10,2,0.267121853404255,47,-0.0143854920340426,47,-0.118180420834043,47,-0.161591924234043,47,-0.00555287692765957,47,-0.0738744931340426,47,0.931861027446809,47,-0.0565670278723404,47
11,2,0.263775859277778,54,-0.0303157822055556,54,-0.106797216481481,54,-0.238802959018519,54,-0.103167501868519,54,-0.203369399185185,54,0.892626155555556,54,-0.343576924814815,54
12,2,0.272970338653846,52,-0.0263574903403846,52,-0.107339730115385,52,-0.290149192307692,52,-0.103818259823077,52,-0.436697425576923,52,0.938371473269231,52,-0.259144202692308,52
13,2,0.258203939581818,55,-0.0277392253910909,55,-0.125767265890909,55,-0.296284597454545,55,0.104470773801818,55,-0.217210568085455,55,0.847634313454545,55,-0.357404501636364,55
14,2,0.26242106612963,54,-0.0204388180024074,54,-0.112279688983333,54,-0.309396717592593,54,0.307195533,54,0.609017879074074,54,0.688256122222222,54,-0.322680364814815,54
15,2,0.270187595833333,48,-0.0287523860708333,48,-0.116952464895833,48,-0.0260971840270833,48,-0.00406536043541667,48,-0.379717488104167,48,0.918544812291667,48,-0.3149610125,48
16,2,0.255986102627451,51,-0.0143654945011765,51,-0.124074517745098,51,-0.397083831568627,51,-0.163732745078431,51,-0.129283825721569,51,0.826874282745098,51,-0.0805926025490196,51
17,2,0.252604768583333,48,-0.0228645614308333,48,-0.121290442104167,48,-0.062952754100625,48,-0.0131721014395833,48,-0.230220954239583,48,0.853530565833333,48,-0.284153753333333,48
18,2,0.265401201896552,58,-0.0222060684378914,58,-0.112655891327586,58,-0.380168286724138,58,-0.211155120224138,58,-0.31437339137931,58,0.883330258448276,58,-0.316619946206897,58
19,2,0.242118808925,40,-0.0303986615775,40,-0.151054607725,40,-0.1287420952375,40,0.176349922525,40,-0.1904685504575,40,0.8294283725,40,-0.3871007085,40
20,2,0.252098317156863,51,-0.0282258047588235,51,-0.121023947784314,51,-0.116088676011765,51,0.15219632835098,51,-0.229249455098039,51,0.777095717058824,51,-0.479894842941176,51
21,2,0.265194544680851,47,-0.0237218695148936,47,-0.125414265340426,47,-0.240808282276596,47,0.109787469104255,47,-0.219707928574468,47,0.781177210851064,47,-0.432309617446809,47
22,2,0.248391534566667,42,-0.0268622561133333,42,-0.117550861738095,42,0.0835738640921429,42,0.250067523738095,42,-0.109613216345238,42,0.889454382857143,42,-0.33682691,42
23,2,0.249995171031373,51,-0.0323844029237255,51,-0.126890616782353,51,-0.243887818513725,51,0.0448435785868627,51,0.10080118935098,51,0.843438810196078,51,-0.214481808235294,51
24,2,0.269881106779661,59,-0.0251979434569492,59,-0.114248610966102,59,-0.344399351355932,59,-0.116804488966102,59,-0.255601012881356,59,0.906369500508475,59,-0.237498409152542,59
25,2,0.277995411384615,65,-0.0269863524264615,65,-0.126210440292308,65,-0.459775646153846,65,-0.223086808769231,65,-0.296523975076923,65,0.927693239538462,65,-0.217641282461538,65
26,2,0.272691394545455,55,-0.0281633797398182,55,-0.121943461236364,55,-0.169006952418182,55,-0.0491726302763636,55,-0.404596936545455,55,0.942095257090909,55,-0.246169656181818,55
27,2,0.265770253921569,51,-0.0200953324078431,51,-0.123530438196078,51,-0.295439547254902,51,-0.0950104077,51,-0.23070787672549,51,0.868000278627451,51,-0.229278659607843,51
28,2,0.262005841764706,51,-0.0279443943478431,51,-0.121514025692157,51,-0.242062430294118,51,-0.146753877035294,51,-0.28598691372549,51,0.854508231764706,51,-0.333223996666667,51
29,2,0.265423066877551,49,-0.0299465312326531,49,-0.118000587840816,49,-0.0867715569693878,49,-0.122128287642857,49,0.0995443502346939,49,0.929258953877551,49,-0.227120125306122,49
30,2,0.271415642261538,65,-0.0253311698786154,65,-0.124697493775385,65,-0.350504475230769,65,-0.127311157607692,65,0.0249468034966154,65,0.93182983,65,-0.226647292153846,65
1,3,0.289188320408163,49,-0.00991850461020408,49,-0.107566190908163,49,0.0300353383483878,49,-0.0319359434489796,49,-0.230434213204082,49,0.931874418979592,49,-0.266610338979592,49
2,3,0.27761534806383,47,-0.0226614158361702,47,-0.116812942382979,47,0.0463666814446808,47,0.262881788951064,47,-0.10283790806383,47,0.861831345531915,47,-0.325780100638298,47
3,3,0.292423484693878,49,-0.0193554079328571,49,-0.116139842908163,49,-0.0574100475102041,49,-0.0331503723387755,49,-0.362240245489796,49,0.939057787755102,49,-0.228829214285714,49
4,3,0.279965329555556,45,-0.00980200850666667,45,-0.1067775246,45,0.0111935496222222,45,-0.21859832499,45,-0.479185977111111,45,0.947731858666667,45,-0.0620852772955556,45
5,3,0.29354392712766,47,-0.00850107533191489,47,-0.100319930659574,47,0.275046110468085,47,0.0907630761042553,47,-0.325891435319149,47,0.956649352553192,47,-0.0607578318319149,47
6,3,0.277045258145833,48,-0.019536840063125,48,-0.107209356208333,48,0.383681639791667,48,0.360164958768542,48,-0.320204232520417,48,0.928531455208333,48,-0.214046334375,48
7,3,0.28030708,47,-0.0166332372978723,47,-0.096938308587234,47,0.0660815600978723,47,-0.138179072734043,47,-0.0636402447755319,47,0.930623632765957,47,-0.12987167306383,47
8,3,0.283484089210526,38,-0.0211058674973684,38,-0.107598135394737,38,0.0241393473736842,38,0.343826273105263,38,0.1337170395,38,0.914023498421053,38,-0.187610243421053,38
9,3,0.295923445,42,-0.0203994269075476,42,-0.0910278793952381,42,0.213392270547619,42,-0.208310705504762,42,-0.00771530035714285,42,0.938417773333333,42,-0.0352304645104762,42
10,3,0.290401594315789,38,-0.0200050770710526,38,-0.110848597247368,38,0.295733547631579,38,0.00407915363157895,38,-0.183557562032895,38,0.939807421052632,38,-0.0646160768947368,38
11,3,0.291605631956522,46,-0.0178097721219565,46,-0.111070149978261,46,0.142456557034783,46,0.0708122725543478,46,-0.324026938043478,46,0.941746406521739,46,-0.200321942608696,46
12,3,0.281521097391304,46,-0.018084266865793,46,-0.10955593226087,46,0.0424084916086956,46,0.11083534373913,46,-0.425017413478261,46,0.949861980652174,46,-0.178702175434783,46
13,3,0.294907553404255,47,-0.0143723839108511,47,-0.101993941531915,47,-0.0681563626617021,47,-0.03212524665,47,-0.158333146191489,47,0.941875619787234,47,-0.211555112553191,47
14,3,0.293422115555556,45,-0.0200141413657778,45,-0.0928330165533333,45,0.0178313402266667,45,0.378870491755556,45,0.451576075111111,45,0.81629643,45,-0.264254674666667,45
15,3,0.280198851190476,42,-0.00563047804309524,42,-0.110526066428571,42,0.406471051190476,42,0.186532377428571,42,-0.281982181666667,42,0.932302200476191,42,-0.167462317142857,42
16,3,0.295586802191489,47,-0.0183898583787234,47,-0.119873705148936,47,0.207251997929787,47,-0.146993837655319,47,0.0114353944787234,47,0.917818427021277,47,-0.0584832676382979,47
17,3,0.29391828326087,46,-0.0167359404347826,46,-0.0892432745173913,46,0.187719760269565,46,-0.0607892037384783,46,-0.231064156615217,46,0.928817578043478,46,-0.151077057652174,46
18,3,0.288439468909091,55,-0.0168666920221818,55,-0.1033908092,55,-0.302634565090909,55,-0.254214045818182,55,-0.418610127454545,55,0.932277478363636,55,-0.225809125454545,55
19,3,0.262688053871795,39,-0.0145942275069487,39,-0.133695240660974,39,0.626917070512821,39,0.514816445641026,39,0.049322451025641,39,0.881940855128205,39,-0.215018042307692,39
20,3,0.296144421355556,45,-0.00964120773155556,45,-0.104602925937778,45,0.0745098785288889,45,0.616937015333333,45,-0.160938536488889,45,0.91972663,45,-0.277419718666667,45
21,3,0.3014610196,45,-0.0173195390157778,45,-0.09816866218,45,0.224343492244444,45,0.301336399711111,45,-0.0717893558666667,45,0.872683205555556,45,-0.356673289555556,45
22,3,0.284458963861111,36,-0.0197999371686389,36,-0.1074157796,36,0.348618168333333,36,0.239812250944444,36,-0.325722718055556,36,0.921820641944444,36,-0.222215179444444,36
23,3,0.289897411148148,54,-0.0162111457238889,54,-0.0988123712574074,54,0.0441392843425926,54,0.10825903416963,54,0.229898742944444,54,0.923711401296296,54,-0.110028841648148,54
24,3,0.288631208909091,55,-0.0145730348310909,55,-0.104818820272727,55,-0.08273248054,55,-0.102607326783636,55,-0.205566380745455,55,0.950883416727273,55,-0.128326710927273,55
25,3,0.291329666206897,58,-0.0210170522987931,58,-0.107192376965517,58,-0.253756934258621,58,-0.14054060387069,58,-0.457972381896552,58,0.929627532241379,58,-0.0724270175862069,58
26,3,0.2792845828,50,-0.01262580966778,50,-0.1064396194,50,0.17395384962,50,-0.011629910112,50,-0.284807676,50,0.9467972718,50,-0.0799003729,50
27,3,0.2975441875,44,-0.0135564467159091,44,-0.112837694688636,44,0.167407531090909,44,-0.0979710029522727,44,-0.240040783340909,44,0.931380178636364,44,-0.166938774772727,44
28,3,0.293642076521739,46,-0.0220230465913043,46,-0.10858897408913,46,0.125712887943478,46,0.156496646504348,46,-0.341031811521739,46,0.929291680434783,46,-0.235897105217391,46
29,3,0.293140441083333,48,-0.01494121505625,48,-0.0981339984895833,48,0.167383602458333,48,-0.12246346700625,48,-0.223177999879167,48,0.948486215,48,-0.0760962952291667,48
30,3,0.283190646967742,62,-0.0174383900204839,62,-0.0999781422322581,62,-0.0577703163548387,62,-0.0272628077709677,62,-0.217275690290323,62,0.958000491451613,62,-0.126710371903226,62
1,4,0.261237565425532,47,-0.00130828765170213,47,-0.104544182255319,47,-0.977229008297872,47,-0.922618641914894,47,-0.93958629106383,47,0.831509933404255,47,0.204411592680851,47
2,4,0.27708735173913,46,-0.0156879937282609,46,-0.109218272456522,46,-0.986822279565217,46,-0.950704499130435,46,-0.95982817173913,46,0.940477273043478,46,-0.105630024498783,46
3,4,0.257197599134615,52,-0.00350299841730769,52,-0.0983579203269231,52,-0.971010120961538,52,-0.856617812115385,52,-0.875110175384615,52,0.901098984615385,52,0.127303379245962,52
4,4,0.27153827992,50,-0.007163065158,50,-0.10587459588,50,-0.980309931,50,-0.89022398108,50,-0.9322030066,50,0.8693030064,50,0.211622539936894,50
5,4,0.273694139545455,44,-0.00990083527045455,44,-0.108540300265909,44,-0.980945022045455,44,-0.904335121022727,44,-0.926094740227273,44,0.880731443863636,44,0.168445524,44
6,4,0.276778487454545,55,-0.0145911615290909,55,-0.110127728709091,55,-0.980164933636364,55,-0.923682131090909,55,-0.925797097090909,55,0.933692934909091,55,0.0682628663363636,55
7,4,0.284674637291667,48,-0.01461097580375,48,-0.122464597625,48,-0.972668374583333,48,-0.909454698541667,48,-0.8565329414375,48,0.969147824375,48,0.00608846646041667,48
8,4,0.267491472934783,46,-0.00672550621304348,46,-0.104461049130435,46,-0.979026152391304,46,-0.927331997021739,46,-0.939553030217391,46,0.832453878043478,46,0.240095117065217,46
9,4,0.24832674354,50,-0.02701677698,50,-0.07537846886,50,-0.9572277914,50,-0.875141405,50,-0.83200187268,50,0.9163245106,50,-0.0414258228938,50
10,4,0.270612056481481,54,-0.015042681852037,54,-0.104253238796296,54,-0.982901825925926,54,-0.917979529962963,54,-0.967826981666667,54,0.791887198148148,54,-0.041260775,54
11,4,0.276590197358491,53,-0.0149195616754717,53,-0.112840218339623,53,-0.982796562075472,53,-0.921402118113208,53,-0.968370181886792,53,0.871963798301887,53,0.213716305739623,53
12,4,0.275007224901961,51,-0.0157892988523529,51,-0.106307228960784,51,-0.982568781960784,51,-0.92858124,51,-0.939661889019608,51,0.926228975490196,51,0.0830509010823529,51
13,4,0.274328499591837,49,-0.00587732936326531,49,-0.0972465110836735,49,-0.989546275306122,49,-0.938967741632653,49,-0.938641215510204,49,0.92557651244898,49,0.101769752489796,49
14,4,0.279990577037037,54,-0.00870565463888889,54,-0.100401490425926,54,-0.976302248148148,54,-0.914935703907407,54,-0.922774835740741,54,0.939038759814815,54,-0.0364533962277778,54
15,4,0.27290337979661,59,-0.0117188472271186,59,-0.11366125320339,59,-0.987084356101695,59,-0.922407162881356,59,-0.949338025084746,59,0.89036426220339,59,0.210849305016949,59
16,4,0.280768574492754,69,-0.0102497939956522,69,-0.0891404038405797,69,-0.986825605362319,69,-0.951607872463768,69,-0.939672247101449,69,0.942457377971014,69,-0.086588253942029,69
17,4,0.2773570196875,64,-0.014156274084375,64,-0.11362408509375,64,-0.9944439053125,64,-0.96185862984375,64,-0.96572919578125,64,0.94488374765625,64,-0.002814673171875,64
18,4,0.27727001877193,57,-0.0128691279736842,57,-0.111904775824561,57,-0.994347988596491,57,-0.974928131052632,57,-0.977572717017544,57,0.909816469298246,57,0.12988647622807,57
19,4,0.273830316164384,73,-0.016739260030137,73,-0.10870765430137,73,-0.976357663013699,73,-0.950388943972603,73,-0.951929615068493,73,0.581371509041096,73,0.360343534657534,73
20,4,0.278045439090909,66,-0.0147229305131818,66,-0.108369634515152,66,-0.983081858939394,66,-0.93612270469697,66,-0.929106396818182,66,0.924454522424242,66,0.0733385412878788,66
21,4,0.277539616823529,85,-0.0144009705494118,85,-0.112057887741176,85,-0.991777287176471,85,-0.966877560941176,85,-0.959567861764706,85,0.940031368,85,0.0215206708823529,85
22,4,0.273583822709677,62,-0.0123468446419355,62,-0.105827369516129,62,-0.978466823709677,62,-0.928059133795645,62,-0.917564853870968,62,0.839305928709677,62,0.208553884,62
23,4,0.273351251617647,68,-0.0133945015676471,68,-0.103808679294118,68,-0.987607636617647,68,-0.934933559264706,68,-0.905584390323529,68,0.936509242941176,68,0.1217510625,68
24,4,0.273475690147059,68,-0.0131255097938235,68,-0.103041061426471,68,-0.990593766617647,68,-0.956255962058824,68,-0.957056111470588,68,0.919637604411765,68,0.182254651955882,68
25,4,0.278541482461538,65,-0.0147696808030769,65,-0.109160440476923,65,-0.991892828615385,65,-0.947457617061538,65,-0.965139552153846,65,0.865686078153846,65,0.208287142261538,65
26,4,0.258243530166667,78,-0.00713364541358974,78,-0.0974448692333333,78,-0.979768987948718,78,-0.94079896551282,78,-0.950004414102564,78,0.782955611794872,78,0.223105562025641,78
27,4,0.273941302571429,70,-0.0155269799285714,70,-0.105521912588571,70,-0.988580107714286,70,-0.971579125714286,70,-0.965858735142857,70,0.839464714,70,0.212947021371429,70
28,4,0.276977629444444,72,-0.0185404441258333,72,-0.111517939555556,72,-0.983272806805556,72,-0.939905244861111,72,-0.936667245694444,72,0.907331309166667,72,-0.112596728361111,72
29,4,0.2771799775,60,-0.016630680375,60,-0.1104118192,60,-0.9907450195,60,-0.963222497833333,60,-0.968063878166667,60,0.891563755166667,60,0.1556594569,60
30,4,0.268336081379032,62,-0.00804731295322581,62,-0.099515446133871,62,-0.983622744193548,62,-0.937857000806452,62,-0.950654041290323,62,0.825473836935484,62,0.114588392624871,62
1,5,0.278917629056604,53,-0.0161375901037736,53,-0.110601817735849,53,-0.995759901509434,53,-0.973190056415094,53,-0.979775876981132,53,0.942952000377358,53,-0.272983832264151,53
2,5,0.277911472222222,54,-0.0184208270166667,54,-0.105908536055556,54,-0.987271889259259,54,-0.957304989259259,54,-0.949741851296296,54,0.896928566851852,54,-0.370062696851852,54
3,5,0.280046513278689,61,-0.0143376555065574,61,-0.101621722633148,61,-0.96674254295082,61,-0.893449307213115,61,-0.911419015081967,61,0.93503077852459,61,-0.301735130327869,61
4,5,0.280499745892857,56,-0.00948911098553571,56,-0.0961574905535714,56,-0.97692058,56,-0.86159737875,56,-0.896880538392857,56,0.95619779125,56,-0.0759009061071429,56
5,5,0.282544390892857,56,-0.00700418554517857,56,-0.102171095696429,56,-0.968591815714286,56,-0.869439913392857,56,-0.869327321785714,56,0.960188699107143,56,-0.03871012665,56
6,5,0.280346248596491,57,-0.0181236327175439,57,-0.112172831947368,57,-0.981758159649123,57,-0.921493191754386,57,-0.925692371929825,57,0.945139003859649,57,-0.230251036140351,57
7,5,0.282723539433962,53,-0.0145740341037736,53,-0.0997778303207547,53,-0.979307570377358,53,-0.923400921886792,53,-0.917064168490566,53,0.958728687924528,53,-0.117607048924528,53
8,5,0.279620986111111,54,-0.0148113067148148,54,-0.106114996837037,54,-0.988815418148148,54,-0.938479429074074,54,-0.926065255185185,54,0.957669921111111,54,-0.0904603488214815,54
9,5,0.282310057333333,45,-0.0200454954022222,45,-0.0952747481333333,45,-0.975741252444444,45,-0.938635759333333,45,-0.919295805777778,45,0.961323502222222,45,-0.010383816474,45
10,5,0.276650300681818,44,-0.0155418603409091,44,-0.107964083931818,44,-0.978403481818182,44,-0.919561843409091,44,-0.941271440454545,44,0.954008785454545,44,-0.0431597830454545,44
11,5,0.277715562765957,47,-0.0171990886595745,47,-0.108686630425532,47,-0.994978878723404,47,-0.964173331702128,47,-0.986382712765957,47,0.956464535957447,47,-0.173082704680851,47
12,5,0.277405834918033,61,-0.0169002543196721,61,-0.105526999754098,61,-0.981243992459016,61,-0.923140254098361,61,-0.920684800114754,61,0.957317821803279,61,-0.21886535557377,61
13,5,0.277758431052632,57,-0.0167891993964912,57,-0.112124137754386,57,-0.991020759298246,57,-0.949422439473684,57,-0.967538031754386,57,0.942695296842105,57,-0.239943146315789,57
14,5,0.280545613833333,60,-0.01520781344,60,-0.103817701790667,60,-0.973268905,60,-0.928525725333333,60,-0.9222763115,60,0.875319569,60,-0.226692231166667,60
15,5,0.278915803962264,53,-0.0183516360396226,53,-0.105910832679245,53,-0.988949247358491,53,-0.931900148301887,53,-0.951670257924528,53,0.965528899622642,53,-0.164713175490566,53
16,5,0.283497402948718,78,-0.0165999672935897,78,-0.103657729076923,78,-0.989076811794872,78,-0.960298267692308,78,-0.953468961666667,78,0.941587749358974,78,-0.0578867045,78
17,5,0.277942503333333,78,-0.0174120064169231,78,-0.111432145565,78,-0.991163919871795,78,-0.968176663717949,78,-0.970462679230769,78,0.904678547435897,78,-0.257486817948718,78
18,5,0.278458805890411,73,-0.0166353518150685,73,-0.108453355945205,73,-0.992019762739726,73,-0.95422343630137,73,-0.961873909178082,73,0.947573239863014,73,-0.204206320958904,73
19,5,0.27817226,73,-0.0154244056945205,73,-0.10904190460274,73,-0.989910996849315,73,-0.944430270684931,73,-0.952599653972603,73,0.944045837534247,73,-0.223897807808219,73
20,5,0.278076904657534,73,-0.0180695049161644,73,-0.100402759931507,73,-0.967209961232877,73,-0.87541041109589,73,-0.913142481643836,73,0.911231752465753,73,-0.305938716712329,73
21,5,0.27695224258427,89,-0.0167084730205618,89,-0.110417855808989,89,-0.981419961123596,89,-0.943601625393258,89,-0.946123407078652,89,0.881213341910112,89,-0.346155558876404,89
22,5,0.279053861587302,63,-0.0158563207496825,63,-0.104967423820635,63,-0.985000527142857,63,-0.922693288412698,63,-0.942201655238095,63,0.954064297619048,63,-0.226418773650794,63
23,5,0.277899323235294,68,-0.0177475547867647,68,-0.1105970177575,68,-0.985421519558824,68,-0.9584444925,68,-0.929409745147059,68,0.919857125882353,68,-0.117401359697059,68
24,5,0.280348883913043,69,-0.0144785340348986,69,-0.108222553855072,69,-0.98725587115942,69,-0.936871974347826,69,-0.930283530144928,69,0.96644228,69,-0.145201300942029,69
25,5,0.278013701621622,74,-0.0163569730274324,74,-0.107352957594595,74,-0.991970126756757,74,-0.954569225945946,74,-0.964642688108108,74,0.929794733108108,74,-0.159316786486486,74
26,5,0.281127035405405,74,-0.0166608306652703,74,-0.110237796416216,74,-0.993069368783784,74,-0.949466155405405,74,-0.962988401351351,74,0.965460891621622,74,-0.140315421824324,74
27,5,0.279566921625,80,-0.016593236445,80,-0.107835818025,80,-0.9919515835,80,-0.955171419,80,-0.962408444875,80,0.965351492,80,-0.188504847375,80
28,5,0.277795069113924,79,-0.0172635124672152,79,-0.106579385202532,79,-0.977748638607595,79,-0.875689216835443,79,-0.905123824177215,79,0.948514848481013,79,-0.247656166582278,79
29,5,0.277965065846154,65,-0.0172605869061538,65,-0.108659067476923,65,-0.996068635384615,65,-0.969295721076923,65,-0.980207488923077,65,0.974508732,65,-0.05848715356,65
